Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated,dis,Cases__str,Deaths__str,Killed and disposed of__str,New outbreaks__str,Slaughtered__str,Susceptible__str,Vaccinated__str,Outbreaks,Killed_disposed,rowtype,Semester_half,AdminDiv_raw,State_Clean,Geo_cleaning_action,AdminDiv
2006,Jul-Dec 2006,Africa,Nigeria,Kano,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,6,,-,,-,,,,HPAI,-,-,-,6,-,-,-,6.0,,outbreak_row_BOTH,Jul-Dec,Kano,Kano,Unchanged (already a state-level value),Kano
2006,Jul-Dec 2006,Africa,Nigeria,Kano,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,8351.0,Animal,2500.0,7194,0.0,1157.0,0.0,HPAI,2500,1157,7194,-,0,8351,0,,7194.0,animal_record,Jul-Dec,Kano,Kano,Unchanged (already a state-level value),Kano
2006,Jul-Dec 2006,Africa,Nigeria,Kwara,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,1,,-,,-,,,,HPAI,-,-,-,1,-,-,-,1.0,,outbreak_row_BOTH,Jul-Dec,Kwara,Kwara,Unchanged (already a state-level value),Kwara
2006,Jul-Dec 2006,Africa,Nigeria,Kwara,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,6685.0,Animal,2000.0,5200,0.0,1485.0,0.0,HPAI,2000,1485,5200,-,0,6685,0,,5200.0,animal_record,Jul-Dec,Kwara,Kwara,Unchanged (already a state-level value),Kwara
2006,Jul-Dec 2006,Africa,Nigeria,Lagos,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,13,,-,,-,,,,HPAI,-,-,-,13,-,-,-,13.0,,outbreak_row_BOTH,Jul-Dec,Lagos,Lagos,Unchanged (already a state-level value),Lagos
2006,Jul-Dec 2006,Africa,Nigeria,Lagos,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,,Animal,,-,,,,HPAI,-,-,-,-,-,-,-,,,animal_record,Jul-Dec,Lagos,Lagos,Unchanged (already a state-level value),Lagos
2006,Jul-Dec 2006,Africa,Nigeria,Nasarawa,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,1,,-,,-,,,,HPAI,-,-,-,1,-,-,-,1.0,,outbreak_row_BOTH,Jul-Dec,Nasarawa,Nasarawa,Unchanged (already a state-level value),Nasarawa
2006,Jul-Dec 2006,Africa,Nigeria,Nasarawa,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,2000.0,Animal,276.0,1724,0.0,276.0,0.0,HPAI,276,276,1724,-,0,2000,0,,1724.0,animal_record,Jul-Dec,Nasarawa,Nasarawa,Unchanged (already a state-level value),Nasarawa
2006,Jul-Dec 2006,Africa,Nigeria,Ogun,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,1,,-,,-,,,,HPAI,-,-,-,1,-,-,-,1.0,,outbreak_row_BOTH,Jul-Dec,Ogun,Ogun,Unchanged (already a state-level value),Ogun
2006,Jul-Dec 2006,Africa,Nigeria,Ogun,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,3536.0,Animal,,-,0.0,652.0,0.0,HPAI,-,652,-,-,0,3536,0,,,animal_record,Jul-Dec,Ogun,Ogun,Unchanged (already a state-level value),Ogun
2006,Jul-Dec 2006,Africa,Nigeria,Plateau,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,1,,-,,-,,,,HPAI,-,-,-,1,-,-,-,1.0,,outbreak_row_BOTH,Jul-Dec,Plateau,Plateau,Unchanged (already a state-level value),Plateau
2006,Jul-Dec 2006,Africa,Nigeria,Plateau,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,86.0,Animal,86.0,37,0.0,49.0,0.0,HPAI,86,49,37,-,0,86,0,,37.0,animal_record,Jul-Dec,Plateau,Plateau,Unchanged (already a state-level value),Plateau
2006,Jul-Dec 2006,Africa,Nigeria,Taraba,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,4,,-,,-,,,,HPAI,-,-,-,4,-,-,-,4.0,,outbreak_row_BOTH,Jul-Dec,Taraba,Taraba,Unchanged (already a state-level value),Taraba
2006,Jul-Dec 2006,Africa,Nigeria,Taraba,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,119.0,Animal,100.0,19,0.0,100.0,0.0,HPAI,100,100,19,-,0,119,0,,19.0,animal_record,Jul-Dec,Taraba,Taraba,Unchanged (already a state-level value),Taraba
2007,Jan-Jun 2007,Africa,Nigeria,Adamawa,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,6,,-,,-,,,,HPAI,-,-,-,6,-,-,-,6.0,,outbreak_row_BOTH,Jan-Jun,Adamawa,Adamawa,Unchanged (already a state-level value),Adamawa
