row_index_raw,year,semester,world_region,country,location_raw,location_std,location_recoded,geo_level,disease_wahis_label,disease,serotype,animal_category,species,measuring_units,event_id,outbreak_id,block_id,row_type,in_study_period,new_outbreaks,susceptible,cases,killed_disposed,slaughtered,deaths,vaccinated
54,2006,Jul-Dec 2006,Africa,Nigeria,Kwara,Kwara,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jul-Dec 2006|Kwara|HPAI|H5N1,animal_row,True,,6685.0,2000.0,5200.0,0.0,1485.0,0.0
55,2006,Jul-Dec 2006,Africa,Nigeria,Lagos,Lagos,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jul-Dec 2006|Lagos|HPAI|H5N1,outbreak_row,True,13.0,,,,,,
56,2006,Jul-Dec 2006,Africa,Nigeria,Lagos,Lagos,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jul-Dec 2006|Lagos|HPAI|H5N1,animal_row,True,,,,,,,
57,2006,Jul-Dec 2006,Africa,Nigeria,Nasarawa,Nasarawa,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jul-Dec 2006|Nasarawa|HPAI|H5N1,outbreak_row,True,1.0,,,,,,
58,2006,Jul-Dec 2006,Africa,Nigeria,Nasarawa,Nasarawa,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jul-Dec 2006|Nasarawa|HPAI|H5N1,animal_row,True,,2000.0,276.0,1724.0,0.0,276.0,0.0
59,2006,Jul-Dec 2006,Africa,Nigeria,Ogun,Ogun,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jul-Dec 2006|Ogun|HPAI|H5N1,outbreak_row,True,1.0,,,,,,
60,2006,Jul-Dec 2006,Africa,Nigeria,Ogun,Ogun,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jul-Dec 2006|Ogun|HPAI|H5N1,animal_row,True,,3536.0,,,0.0,652.0,0.0
61,2006,Jul-Dec 2006,Africa,Nigeria,Plateau,Plateau,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jul-Dec 2006|Plateau|HPAI|H5N1,outbreak_row,True,1.0,,,,,,
62,2006,Jul-Dec 2006,Africa,Nigeria,Plateau,Plateau,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jul-Dec 2006|Plateau|HPAI|H5N1,animal_row,True,,86.0,86.0,37.0,0.0,49.0,0.0
63,2006,Jul-Dec 2006,Africa,Nigeria,Taraba,Taraba,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jul-Dec 2006|Taraba|HPAI|H5N1,outbreak_row,True,4.0,,,,,,
64,2006,Jul-Dec 2006,Africa,Nigeria,Taraba,Taraba,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jul-Dec 2006|Taraba|HPAI|H5N1,animal_row,True,,119.0,100.0,19.0,0.0,100.0,0.0
65,2007,Jan-Jun 2007,Africa,Nigeria,Adamawa,Adamawa,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2007|Jan-Jun 2007|Adamawa|HPAI|H5N1,outbreak_row,True,6.0,,,,,,
66,2007,Jan-Jun 2007,Africa,Nigeria,Adamawa,Adamawa,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2007|Jan-Jun 2007|Adamawa|HPAI|H5N1,animal_row,True,,394.0,,,0.0,157.0,0.0
67,2007,Jan-Jun 2007,Africa,Nigeria,Anambra,Anambra,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2007|Jan-Jun 2007|Anambra|HPAI|H5N1,outbreak_row,True,2.0,,,,,,
68,2007,Jan-Jun 2007,Africa,Nigeria,Anambra,Anambra,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2007|Jan-Jun 2007|Anambra|HPAI|H5N1,animal_row,True,,15852.0,,,0.0,,0.0
69,2007,Jan-Jun 2007,Africa,Nigeria,Bauchi,Bauchi,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2007|Jan-Jun 2007|Bauchi|HPAI|H5N1,outbreak_row,True,7.0,,,,,,
70,2007,Jan-Jun 2007,Africa,Nigeria,Bauchi,Bauchi,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2007|Jan-Jun 2007|Bauchi|HPAI|H5N1,animal_row,True,,1356.0,,,0.0,286.0,0.0
71,2007,Jan-Jun 2007,Africa,Nigeria,Borno,Borno,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2007|Jan-Jun 2007|Borno|HPAI|H5N1,outbreak_row,True,4.0,,,,,,
72,2007,Jan-Jun 2007,Africa,Nigeria,Borno,Borno,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2007|Jan-Jun 2007|Borno|HPAI|H5N1,animal_row,True,,300.0,200.0,140.0,0.0,160.0,0.0
73,2007,Jan-Jun 2007,Africa,Nigeria,Edo,Edo,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2007|Jan-Jun 2007|Edo|HPAI|H5N1,outbreak_row,True,2.0,,,,,,
74,2007,Jan-Jun 2007,Africa,Nigeria,Edo,Edo,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2007|Jan-Jun 2007|Edo|HPAI|H5N1,animal_row,True,,6125.0,,,0.0,4000.0,0.0
75,2007,Jan-Jun 2007,Africa,Nigeria,Enugu,Enugu,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2007|Jan-Jun 2007|Enugu|HPAI|H5N1,outbreak_row,True,2.0,,,,,,
76,2007,Jan-Jun 2007,Africa,Nigeria,Enugu,Enugu,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2007|Jan-Jun 2007|Enugu|HPAI|H5N1,animal_row,True,,500.0,500.0,0.0,0.0,500.0,0.0
77,2007,Jan-Jun 2007,Africa,Nigeria,Federal Capital Territory,Federal Capital Territory,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2007|Jan-Jun 2007|Federal Capital Territory|HPAI|H5N1,outbreak_row,True,1.0,,,,,,
78,2007,Jan-Jun 2007,Africa,Nigeria,Federal Capital Territory,Federal Capital Territory,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2007|Jan-Jun 2007|Federal Capital Territory|HPAI|H5N1,animal_row,True,,40.0,40.0,,0.0,35.0,0.0
79,2007,Jan-Jun 2007,Africa,Nigeria,Jigawa,Jigawa,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2007|Jan-Jun 2007|Jigawa|HPAI|H5N1,outbreak_row,True,3.0,,,,,,
80,2007,Jan-Jun 2007,Africa,Nigeria,Jigawa,Jigawa,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2007|Jan-Jun 2007|Jigawa|HPAI|H5N1,animal_row,True,,14057.0,50.0,0.0,0.0,3061.0,0.0
81,2007,Jan-Jun 2007,Africa,Nigeria,Kaduna,Kaduna,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2007|Jan-Jun 2007|Kaduna|HPAI|H5N1,outbreak_row,True,17.0,,,,,,
82,2007,Jan-Jun 2007,Africa,Nigeria,Kaduna,Kaduna,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2007|Jan-Jun 2007|Kaduna|HPAI|H5N1,animal_row,True,,31197.0,2500.0,5875.0,0.0,7449.0,0.0
83,2007,Jan-Jun 2007,Africa,Nigeria,Kano,Kano,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2007|Jan-Jun 2007|Kano|HPAI|H5N1,outbreak_row,True,32.0,,,,,,
84,2007,Jan-Jun 2007,Africa,Nigeria,Kano,Kano,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2007|Jan-Jun 2007|Kano|HPAI|H5N1,animal_row,True,,85271.0,,,0.0,4290.0,0.0
