block_id,year,semester,disease,serotype,geo_level,location_raw,location_std,header_animal_category,new_outbreaks
2008|Jan-Jun 2008|Gombe|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Gombe,Gombe,Both animal categories,1.0
2008|Jan-Jun 2008|Kaduna|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Kaduna,Kaduna,Both animal categories,1.0
2008|Jan-Jun 2008|Kebbi|HPAI|H5N1,2008,Jan-Jun 2008,HPAI,H5N1,state,Kebbi,Kebbi,Both animal categories,1.0
2008|Jan-Jun 2008|Kwara|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Kwara,Kwara,Both animal categories,2.0
2008|Jan-Jun 2008|Nasarawa|Trypanosomosis|,2008,Jan-Jun 2008,Trypanosomosis,,state,Nasarawa,Nasarawa,Both animal categories,1.0
2008|Jan-Jun 2008|Niger|Trypanosomosis|,2008,Jan-Jun 2008,Trypanosomosis,,state,Niger,Niger,Both animal categories,1.0
2008|Jan-Jun 2008|Ondo|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Ondo,Ondo,Both animal categories,2.0
2008|Jan-Jun 2008|Osun|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Osun,Osun,Both animal categories,2.0
2008|Jan-Jun 2008|Taraba|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Taraba,Taraba,Both animal categories,1.0
2008|Jul-Dec 2008|Bauchi|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Bauchi,Bauchi,Both animal categories,4.0
2008|Jul-Dec 2008|Ekiti|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Ekiti,Ekiti,Both animal categories,1.0
2008|Jul-Dec 2008|Gombe|HPAI|H5N1,2008,Jul-Dec 2008,HPAI,H5N1,state,Gombe,Gombe,Both animal categories,1.0
2008|Jul-Dec 2008|Gombe|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Gombe,Gombe,Both animal categories,1.0
2008|Jul-Dec 2008|Kaduna|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Kaduna,Kaduna,Both animal categories,1.0
2008|Jul-Dec 2008|Kano|HPAI|H5N1,2008,Jul-Dec 2008,HPAI,H5N1,state,Kano,Kano,Both animal categories,1.0
2008|Jul-Dec 2008|Kano|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Kano,Kano,Both animal categories,1.0
2008|Jul-Dec 2008|Katsina|HPAI|H5N1,2008,Jul-Dec 2008,HPAI,H5N1,state,Katsina,Katsina,Both animal categories,1.0
2008|Jul-Dec 2008|Osun|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Osun,Osun,Both animal categories,1.0
2008|Jul-Dec 2008|Plateau|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Plateau,Plateau,Both animal categories,1.0
2008|Jul-Dec 2008|Taraba|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Taraba,Taraba,Both animal categories,1.0
2009|Jan-Jun 2009|Adamawa|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Adamawa,Adamawa,Both animal categories,1.0
2009|Jan-Jun 2009|Bauchi|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Bauchi,Bauchi,Both animal categories,2.0
2009|Jan-Jun 2009|Benue|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Benue,Benue,Both animal categories,1.0
2009|Jan-Jun 2009|Edo|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Edo,Edo,Both animal categories,1.0
2009|Jan-Jun 2009|Federal Capital Territory|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Federal Capital Territory,Federal Capital Territory,Both animal categories,2.0
2009|Jan-Jun 2009|Federal Capital Territory|Trypanosomosis|,2009,Jan-Jun 2009,Trypanosomosis,,state,Federal Capital Territory,Federal Capital Territory,Both animal categories,7.0
2009|Jan-Jun 2009|Jigawa|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Jigawa,Jigawa,Both animal categories,3.0
2009|Jan-Jun 2009|Kano|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Kano,Kano,Both animal categories,1.0
2009|Jan-Jun 2009|Niger|Trypanosomosis|,2009,Jan-Jun 2009,Trypanosomosis,,state,Niger,Niger,Both animal categories,3.0
2009|Jan-Jun 2009|Ondo|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Ondo,Ondo,Both animal categories,2.0
2009|Jul-Dec 2009|Bauchi|Rabies|,2009,Jul-Dec 2009,Rabies,,state,Bauchi,Bauchi,Both animal categories,4.0
2009|Jul-Dec 2009|Bauchi|Trypanosomosis|,2009,Jul-Dec 2009,Trypanosomosis,,state,Bauchi,Bauchi,Both animal categories,1.0
2009|Jul-Dec 2009|Federal Capital Territory|Rabies|,2009,Jul-Dec 2009,Rabies,,state,Federal Capital Territory,Federal Capital Territory,Both animal categories,2.0
2009|Jul-Dec 2009|Federal Capital Territory|Trypanosomosis|,2009,Jul-Dec 2009,Trypanosomosis,,state,Federal Capital Territory,Federal Capital Territory,Both animal categories,1.0
2009|Jul-Dec 2009|Kaduna|Rabies|,2009,Jul-Dec 2009,Rabies,,state,Kaduna,Kaduna,Both animal categories,4.0
2009|Jul-Dec 2009|Nasarawa|Trypanosomosis|,2009,Jul-Dec 2009,Trypanosomosis,,state,Nasarawa,Nasarawa,Both animal categories,2.0
2009|Jul-Dec 2009|Plateau|Rabies|,2009,Jul-Dec 2009,Rabies,,state,Plateau,Plateau,Both animal categories,1.0
2009|Jul-Dec 2009|Plateau|Trypanosomosis|,2009,Jul-Dec 2009,Trypanosomosis,,state,Plateau,Plateau,Both animal categories,1.0
2010|Jan-Jun 2010|Enugu|Trypanosomosis|,2010,Jan-Jun 2010,Trypanosomosis,,state,Enugu,Enugu,Both animal categories,1.0
2010|Jan-Jun 2010|Imo|Rabies|,2010,Jan-Jun 2010,Rabies,,state,Imo,Imo,Both animal categories,1.0
2010|Jan-Jun 2010|Kaduna|Rabies|,2010,Jan-Jun 2010,Rabies,,state,Kaduna,Kaduna,Both animal categories,1.0
2010|Jan-Jun 2010|Niger|Trypanosomosis|,2010,Jan-Jun 2010,Trypanosomosis,,state,Niger,Niger,Both animal categories,4.0
2010|Jan-Jun 2010|Plateau|Rabies|,2010,Jan-Jun 2010,Rabies,,state,Plateau,Plateau,Both animal categories,1.0
2010|Jul-Dec 2010|Bauchi|Rabies|,2010,Jul-Dec 2010,Rabies,,state,Bauchi,Bauchi,Both animal categories,1.0
2010|Jul-Dec 2010|Enugu|Trypanosomosis|,2010,Jul-Dec 2010,Trypanosomosis,,state,Enugu,Enugu,Both animal categories,1.0
2010|Jul-Dec 2010|Taraba|Rabies|,2010,Jul-Dec 2010,Rabies,,state,Taraba,Taraba,Both animal categories,1.0
2011|Jan-Jun 2011|Benue|Rabies|,2011,Jan-Jun 2011,Rabies,,state,Benue,Benue,Both animal categories,1.0
2011|Jan-Jun 2011|Cross River|Rabies|,2011,Jan-Jun 2011,Rabies,,state,Cross River,Cross River,Both animal categories,3.0
2011|Jan-Jun 2011|Ebonyi|Rabies|,2011,Jan-Jun 2011,Rabies,,state,Ebonyi,Ebonyi,Both animal categories,1.0
2011|Jan-Jun 2011|Gombe|Rabies|,2011,Jan-Jun 2011,Rabies,,state,Gombe,Gombe,Both animal categories,5.0
2011|Jan-Jun 2011|Niger|Trypanosomosis|,2011,Jan-Jun 2011,Trypanosomosis,,state,Niger,Niger,Both animal categories,1.0
