block_id,year,semester,disease,serotype,geo_level,location_raw,location_std,animal_category,species,measuring_units,susceptible,cases,killed_disposed,slaughtered,deaths,vaccinated,all_counts_missing
2008|Jul-Dec 2008|Taraba|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Taraba,Taraba,Domestic,Dogs,Animal,,,,,,,True
2009|Jan-Jun 2009|Adamawa|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Adamawa,Adamawa,Domestic,Dogs,Animal,1.0,1.0,0.0,0.0,1.0,8.0,False
2009|Jan-Jun 2009|Bauchi|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Bauchi,Bauchi,Domestic,Dogs,Animal,5.0,2.0,0.0,0.0,2.0,6.0,False
2009|Jan-Jun 2009|Benue|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Benue,Benue,Domestic,Dogs,Animal,,2.0,0.0,0.0,2.0,4.0,False
2009|Jan-Jun 2009|Edo|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Edo,Edo,Domestic,Dogs,Animal,2.0,2.0,0.0,0.0,2.0,5.0,False
2009|Jan-Jun 2009|Federal Capital Territory|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Federal Capital Territory,Federal Capital Territory,Domestic,Dogs,Animal,1.0,2.0,0.0,0.0,2.0,15.0,False
2009|Jan-Jun 2009|Federal Capital Territory|Trypanosomosis|,2009,Jan-Jun 2009,Trypanosomosis,,state,Federal Capital Territory,Federal Capital Territory,Domestic,Cattle,Animal,3615.0,5.0,0.0,0.0,2.0,,False
2009|Jan-Jun 2009|Jigawa|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Jigawa,Jigawa,Domestic,Dogs,Animal,,6.0,3.0,0.0,3.0,359.0,False
2009|Jan-Jun 2009|Kano|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Kano,Kano,Domestic,Dogs,Animal,1.0,1.0,0.0,0.0,1.0,18.0,False
2009|Jan-Jun 2009|Niger|Trypanosomosis|,2009,Jan-Jun 2009,Trypanosomosis,,state,Niger,Niger,Domestic,Cattle,Animal,132.0,42.0,0.0,3.0,0.0,,False
2009|Jan-Jun 2009|Ondo|Rabies|,2009,Jan-Jun 2009,Rabies,,state,Ondo,Ondo,Domestic,Dogs,Animal,,2.0,0.0,0.0,2.0,115.0,False
2009|Jul-Dec 2009|Bauchi|Rabies|,2009,Jul-Dec 2009,Rabies,,state,Bauchi,Bauchi,Domestic,Dogs,Animal,97.0,14.0,6.0,0.0,3.0,,False
2009|Jul-Dec 2009|Bauchi|Trypanosomosis|,2009,Jul-Dec 2009,Trypanosomosis,,state,Bauchi,Bauchi,Domestic,Cattle,Animal,70.0,22.0,0.0,4.0,1.0,0.0,False
2009|Jul-Dec 2009|Federal Capital Territory|Rabies|,2009,Jul-Dec 2009,Rabies,,state,Federal Capital Territory,Federal Capital Territory,Domestic,Dogs,Animal,,1.0,1.0,0.0,0.0,,False
2009|Jul-Dec 2009|Federal Capital Territory|Trypanosomosis|,2009,Jul-Dec 2009,Trypanosomosis,,state,Federal Capital Territory,Federal Capital Territory,Domestic,Cattle,Animal,123.0,23.0,0.0,0.0,0.0,,False
2009|Jul-Dec 2009|Kaduna|Rabies|,2009,Jul-Dec 2009,Rabies,,state,Kaduna,Kaduna,Domestic,Dogs,Animal,464.0,27.0,6.0,0.0,5.0,,False
2009|Jul-Dec 2009|Nasarawa|Trypanosomosis|,2009,Jul-Dec 2009,Trypanosomosis,,state,Nasarawa,Nasarawa,Domestic,Cattle,Animal,320.0,250.0,189.0,22.0,211.0,,False
2009|Jul-Dec 2009|Plateau|Rabies|,2009,Jul-Dec 2009,Rabies,,state,Plateau,Plateau,Domestic,Dogs,Animal,,,,,,,True
2009|Jul-Dec 2009|Plateau|Trypanosomosis|,2009,Jul-Dec 2009,Trypanosomosis,,state,Plateau,Plateau,Domestic,Cattle,Animal,,,,,,,True
2010|Jan-Jun 2010|Enugu|Trypanosomosis|,2010,Jan-Jun 2010,Trypanosomosis,,state,Enugu,Enugu,Domestic,Cattle,Animal,1.0,1.0,,,,,False
2010|Jan-Jun 2010|Imo|Rabies|,2010,Jan-Jun 2010,Rabies,,state,Imo,Imo,Domestic,Dogs,Animal,,1.0,0.0,0.0,1.0,,False
2010|Jan-Jun 2010|Kaduna|Rabies|,2010,Jan-Jun 2010,Rabies,,state,Kaduna,Kaduna,Domestic,Dogs,Animal,1.0,1.0,0.0,0.0,1.0,,False
2010|Jan-Jun 2010|Niger|Trypanosomosis|,2010,Jan-Jun 2010,Trypanosomosis,,state,Niger,Niger,Domestic,Cattle,Animal,120.0,35.0,0.0,6.0,5.0,,False
2010|Jan-Jun 2010|Plateau|Rabies|,2010,Jan-Jun 2010,Rabies,,state,Plateau,Plateau,Domestic,Dogs,Animal,2.0,1.0,0.0,0.0,1.0,,False
2010|Jul-Dec 2010|Bauchi|Rabies|,2010,Jul-Dec 2010,Rabies,,state,Bauchi,Bauchi,Domestic,Dogs,Animal,1.0,1.0,0.0,0.0,1.0,0.0,False
2010|Jul-Dec 2010|Enugu|Trypanosomosis|,2010,Jul-Dec 2010,Trypanosomosis,,state,Enugu,Enugu,Domestic,Cattle,Animal,45.0,35.0,0.0,0.0,10.0,,False
2010|Jul-Dec 2010|Taraba|Rabies|,2010,Jul-Dec 2010,Rabies,,state,Taraba,Taraba,Domestic,Dogs,Animal,1.0,1.0,0.0,0.0,1.0,0.0,False
2011|Jan-Jun 2011|Benue|Rabies|,2011,Jan-Jun 2011,Rabies,,state,Benue,Benue,Domestic,Dogs,Animal,1.0,1.0,0.0,0.0,1.0,0.0,False
